platform	group	default
EPIC	CGI	0
EPIC	chromHMM	0
EPIC	chromosome.hg19	0
EPIC	chromosome.hg38	0
EPIC	HMconsensus	1
EPIC	mask	0
EPIC	metagene	1
EPIC	probeType	0
EPIC	seqContext	1
EPIC	TFBSconsensus	1
EPIC	tissueSignature	1
HM27	mask	0
HM450	chromHMM	0
HM450	chromosome.hg19	0
HM450	HMconsensus	1
HM450	mask	0
HM450	metagene	1
HM450	probeType	0
HM450	seqContext	1
HM450	TFBSconsensus	1
HM450	tissueSignature	1
Mammal40	chromHMM	0
Mammal40	metagene	1
MM285	chromHMM	0
MM285	chromosome.mm10	0
MM285	designGroup	0
MM285	HMconsensus	1
MM285	mask	0
MM285	metagene	1
MM285	probeType	0
MM285	seqContext	1
MM285	seqContextN	1
MM285	TFBSconsensus	1
MM285	tissueSignature	1
